"","Species","Habitat","Scenario","Mean","SD","Median","Q1","Q3","IQR","Minimum","MinimumOutlier","Maximum","MaximumOutlier"
"88","BBWO","conifer",0.75,-0.069028524844941,0.125061626691118,-0.0475455160426161,-0.155779732805603,-0.0153357967470116,0.140443936058591,-0.36644563689349,-0.285814762745204,0.195330107340876,0.166374230889112
"89","BBWO","conifer",0.85,-0.0118364260887708,0.108055939719504,-0.00404454234252528,-0.104781724193939,0.0356600585147398,0.140441782708679,-0.315444398256958,-0.19469348509972,0.246322732577758,0.201538056907862
"90","BBWO","conifer",0.95,0.122139746204008,0.0680193980695915,0.126093261157098,0.0650334712289432,0.163819018623014,0.0987855473940706,-0.0831448498621627,-0.0350041279495334,0.31199733971412,0.24414672576695
"91","BCCH","generalist",0.05,-0.122886719619735,0.0259467138880084,-0.116164478990417,-0.140687959291151,-0.104799579428237,0.0358883798629136,-0.194520529085521,-0.168761193013765,-0.0509670096338669,-0.0718525778839158
"92","BCCH","generalist",0.15,-0.172696565878936,0.0284655782512612,-0.163784873330356,-0.198531860773654,-0.150209519365292,0.0483223414083621,-0.271015372886197,-0.239305246878815,-0.0777260072527485,-0.133518217827482
"93","BCCH","generalist",0.25,-0.247535473229121,0.0223569556523079,-0.245925522296533,-0.256491162656913,-0.239247923812536,0.0172432388443767,-0.282356020923478,-0.309230215369453,-0.213383065545971,-0.201977351905124
"94","BCCH","generalist",0.35,-0.34289228087206,0.0209307254885818,-0.344866244948192,-0.353972055335126,-0.337150818438027,0.0168212368970989,-0.379203910680774,-0.388188981396563,-0.311918963092378,-0.294171909717755
"95","BCCH","generalist",0.45,-0.440339383214098,0.0341772598722399,-0.437096010491833,-0.468311723944974,-0.425230735982376,0.0430809879625987,-0.532933205888872,-0.506617604067424,-0.360609254038478,-0.379008647651289
"96","BCCH","generalist",0.55,-0.503538569930044,0.0629900571697814,-0.505571998646769,-0.565875152243416,-0.454735390856586,0.111139761386829,-0.73258479432366,-0.616239552855747,-0.288025748776342,-0.40804048166679
"97","BCCH","generalist",0.65,-0.584034212879776,0.0922482601955712,-0.568129967543288,-0.659042977191215,-0.528987330787432,0.130055646403783,-0.854126446796889,-0.777317797472927,-0.333903861181758,-0.45285710250841
"98","BCCH","generalist",0.75,-0.753077706556526,0.149273934447558,-0.723042944210261,-0.842597470184267,-0.640592921286428,0.202004548897839,-1.14560429353102,-1.09851442696274,-0.33758609793967,-0.562774415515009
"99","BCCH","generalist",0.85,-0.956936422575211,0.219560456802303,-0.900076318450526,-1.09541166668783,-0.775533158869956,0.319878507817874,-1.57522942841464,-1.49357833708721,-0.295715397143145,-0.686739114182027
"100","BCCH","generalist",0.95,-1.25894412759849,0.334115088625052,-1.17603267933038,-1.48090694923166,-1.00764160955625,0.473265339675414,-2.19080495874478,-2.17177458854696,-0.297743600043126,-0.87544138355244
"101","BHCO","grassland",0.05,0.00139853594364476,0.0468840337141516,0.0254664114074069,-0.0322068964398905,0.0360423087893527,0.0682492052292432,-0.134580704283755,-0.106034496036733,0.138416116633217,0.056197253545254
"102","BHCO","grassland",0.15,0.0692055001088346,0.111207078581383,0.129255432015996,-0.0588751488399695,0.151583072803663,0.210458221643633,-0.374562481305419,-0.12499825202573,0.467270405269112,0.191207655454043
"103","BHCO","grassland",0.25,0.0236422337985851,0.128723089713777,0.0958129206536282,-0.136877069722486,0.115760444018371,0.252637513740858,-0.515833340333772,-0.203608465191433,0.494716714629658,0.17075881759918
"104","BHCO","grassland",0.35,-0.0426703666126773,0.156119438328806,0.0492170954118715,-0.198830476084377,0.079200277689462,0.278030753773839,-0.615876606745136,-0.317986194197505,0.496246408350221,0.139772676536727
"105","BHCO","grassland",0.45,-0.11751068893527,0.188600818306525,-0.0120310968339371,-0.273454103872303,0.0365604132602153,0.310014517132518,-0.738475879571081,-0.439622181813223,0.501582188958993,0.101698075812794
